similarity,corruption,rank,topK,iter,lambda,weight_u_i,metric,NDCG@K,Recall@50,weight_i,weight_u,Recall@100
Cosine,0.5,50,50,200,1e-05,,,"[0.4787, 0.0148]","[0.3346, 0.015]",0.1,0.9,
Cosine,0.5,50,50,200,1e-05,,,"[0.4732, 0.0147]","[0.3303, 0.0146]",0.2,0.8,
Cosine,0.5,50,50,200,1e-05,,,"[0.4651, 0.015]","[0.322, 0.0146]",0.3,0.7,
Cosine,0.5,50,50,200,1e-05,,,"[0.4634, 0.0151]","[0.3084, 0.0142]",0.4,0.6,
Cosine,0.5,50,50,200,1e-05,,,"[0.4606, 0.015]","[0.3038, 0.0139]",0.5,0.5,
Cosine,0.5,50,50,200,1e-05,,,"[0.4578, 0.0151]","[0.2926, 0.0134]",0.6,0.4,
Cosine,0.5,50,50,200,1e-05,,,"[0.4575, 0.015]","[0.2875, 0.0134]",0.7,0.3,
Cosine,0.5,50,50,200,1e-05,,,"[0.4546, 0.0152]","[0.2793, 0.0132]",0.8,0.2,
Cosine,0.5,50,50,200,1e-05,,,"[0.4516, 0.0153]","[0.2664, 0.0127]",0.9,0.1,
Cosine,0.5,50,50,200,1e-05,,,"[0.4504, 0.0156]","[0.2591, 0.0126]",1.0,0.0,
Cosine,0.5,50,100,200,1e-05,,,"[0.4904, 0.013]",,0.0,1.0,"[0.493, 0.0161]"
Cosine,0.5,50,100,200,1e-05,,,"[0.4867, 0.0133]",,0.1,0.9,"[0.5002, 0.0172]"
Cosine,0.5,50,100,200,1e-05,,,"[0.4808, 0.0131]",,0.2,0.8,"[0.4932, 0.0172]"
Cosine,0.5,50,100,200,1e-05,,,"[0.4805, 0.0132]",,0.3,0.7,"[0.482, 0.0168]"
Cosine,0.5,50,100,200,1e-05,,,"[0.4721, 0.0133]",,0.4,0.6,"[0.4653, 0.0166]"
Cosine,0.5,50,100,200,1e-05,,,"[0.4713, 0.0135]",,0.5,0.5,"[0.4524, 0.0164]"
Cosine,0.5,50,100,200,1e-05,,,"[0.4646, 0.0138]",,0.6,0.4,"[0.4376, 0.0163]"
Cosine,0.5,50,100,200,1e-05,,,"[0.4656, 0.0138]",,0.7,0.3,"[0.4178, 0.0156]"
Cosine,0.5,50,100,200,1e-05,,,"[0.4594, 0.0139]",,0.8,0.2,"[0.4052, 0.0154]"
Cosine,0.5,50,100,200,1e-05,,,"[0.4544, 0.0144]",,0.9,0.1,"[0.3807, 0.015]"
Cosine,0.5,50,100,200,1e-05,,,"[0.4507, 0.0147]",,1.0,0.0,"[0.3678, 0.0148]"
Cosine,0.2,50,50,200,0.0001,,,"[0.4835, 0.0144]","[0.3346, 0.0145]",0.0,1.0,
Cosine,0.2,50,50,200,0.0001,,,"[0.4763, 0.0146]","[0.338, 0.0149]",0.1,0.9,
Cosine,0.2,50,50,200,0.0001,,,"[0.4715, 0.0143]","[0.3332, 0.0147]",0.2,0.8,
Cosine,0.2,50,50,200,0.0001,,,"[0.4661, 0.0147]","[0.3211, 0.0144]",0.3,0.7,
Cosine,0.2,50,50,200,0.0001,,,"[0.4649, 0.0146]","[0.3138, 0.0142]",0.4,0.6,
Cosine,0.2,50,50,200,0.0001,,,"[0.4626, 0.0147]","[0.3025, 0.0137]",0.5,0.5,
Cosine,0.2,50,50,200,0.0001,,,"[0.4622, 0.0147]","[0.2997, 0.0137]",0.6,0.4,
Cosine,0.2,50,50,200,0.0001,,,"[0.4561, 0.0147]","[0.289, 0.0133]",0.7,0.3,
Cosine,0.2,50,50,200,0.0001,,,"[0.449, 0.0149]","[0.2727, 0.0128]",0.8,0.2,
Cosine,0.2,50,50,200,0.0001,,,"[0.4454, 0.0152]","[0.2603, 0.0125]",0.9,0.1,
Cosine,0.2,50,50,200,0.0001,,,"[0.4413, 0.0158]","[0.2448, 0.0122]",1.0,0.0,
Cosine,0.2,50,100,200,0.0001,,,"[0.4937, 0.0129]",,0.0,1.0,"[0.5007, 0.0163]"
