similarity,corruption,rank,topK,iter,lambda,weight_u_i,metric,NDCG,Recall@5,tok,weight_i,weight_u,Recall@10,Recall@15,Recall@20,Recall@50
Cosine,0.5,50,,200,0.0001,,,"[0.1541, 0.0097]",,20.0,0.7,0.3,,,"[0.17, 0.0115]",
Cosine,0.5,50,,200,0.0001,,,"[0.1482, 0.0096]",,20.0,0.8,0.2,,,"[0.16, 0.011]",
Cosine,0.5,50,,200,0.0001,,,"[0.1545, 0.0099]",,20.0,0.9,0.1,,,"[0.1652, 0.0113]",
Cosine,0.5,50,,200,0.0001,,,"[0.1534, 0.0097]",,20.0,1.0,0.0,,,"[0.1623, 0.0111]",
Cosine,0.5,50,,200,0.0001,,,"[0.2248, 0.0106]",,50.0,0.0,1.0,,,,"[0.3366, 0.0159]"
Cosine,0.5,50,,200,0.0001,,,"[0.2334, 0.0111]",,50.0,0.1,0.9,,,,"[0.3473, 0.0169]"
Cosine,0.5,50,,200,0.0001,,,"[0.2315, 0.0112]",,50.0,0.2,0.8,,,,"[0.3417, 0.017]"
Cosine,0.5,50,,200,0.0001,,,"[0.2313, 0.0114]",,50.0,0.3,0.7,,,,"[0.3379, 0.0171]"
Cosine,0.5,50,,200,0.0001,,,"[0.2295, 0.0113]",,50.0,0.4,0.6,,,,"[0.3288, 0.0168]"
Cosine,0.5,50,,200,0.0001,,,"[0.2268, 0.0112]",,50.0,0.5,0.5,,,,"[0.3219, 0.0164]"
Cosine,0.5,50,,200,0.0001,,,"[0.2245, 0.0112]",,50.0,0.6,0.4,,,,"[0.3114, 0.0159]"
Cosine,0.5,50,,200,0.0001,,,"[0.2236, 0.0115]",,50.0,0.7,0.3,,,,"[0.3074, 0.0162]"
Cosine,0.5,50,,200,0.0001,,,"[0.2172, 0.0113]",,50.0,0.8,0.2,,,,"[0.2972, 0.0157]"
Cosine,0.5,50,,200,0.0001,,,"[0.2162, 0.0114]",,50.0,0.9,0.1,,,,"[0.2862, 0.0153]"
Cosine,0.5,50,,200,0.0001,,,"[0.2165, 0.0114]",,50.0,1.0,0.0,,,,"[0.286, 0.0152]"
Cosine,0.2,50,,200,0.001,,,"[0.0699, 0.0071]","[0.052, 0.0059]",5.0,0.0,1.0,,,,
Cosine,0.2,50,,200,0.001,,,"[0.0721, 0.0069]","[0.0506, 0.0053]",5.0,0.1,0.9,,,,
Cosine,0.2,50,,200,0.001,,,"[0.074, 0.0071]","[0.0518, 0.0055]",5.0,0.2,0.8,,,,
Cosine,0.2,50,,200,0.001,,,"[0.0755, 0.0071]","[0.0531, 0.0055]",5.0,0.3,0.7,,,,
Cosine,0.2,50,,200,0.001,,,"[0.0735, 0.0068]","[0.0508, 0.0052]",5.0,0.4,0.6,,,,
Cosine,0.2,50,,200,0.001,,,"[0.0742, 0.0067]","[0.0528, 0.0052]",5.0,0.5,0.5,,,,
Cosine,0.2,50,,200,0.001,,,"[0.0735, 0.007]","[0.051, 0.0055]",5.0,0.6,0.4,,,,
Cosine,0.2,50,,200,0.001,,,"[0.074, 0.0068]","[0.0505, 0.0051]",5.0,0.7,0.3,,,,
Cosine,0.2,50,,200,0.001,,,"[0.0707, 0.0067]","[0.0481, 0.0052]",5.0,0.8,0.2,,,,
Cosine,0.2,50,,200,0.001,,,"[0.0701, 0.0065]","[0.0478, 0.005]",5.0,0.9,0.1,,,,
Cosine,0.2,50,,200,0.001,,,"[0.0727, 0.0068]","[0.0499, 0.0052]",5.0,1.0,0.0,,,,
Cosine,0.2,50,,200,0.001,,,"[0.1033, 0.0085]",,10.0,0.0,1.0,"[0.0984, 0.0089]",,,
Cosine,0.2,50,,200,0.001,,,"[0.1071, 0.0084]",,10.0,0.1,0.9,"[0.0987, 0.0085]",,,
Cosine,0.2,50,,200,0.001,,,"[0.1084, 0.0084]",,10.0,0.2,0.8,"[0.0985, 0.0082]",,,
Cosine,0.2,50,,200,0.001,,,"[0.11, 0.0083]",,10.0,0.3,0.7,"[0.0997, 0.0083]",,,
Cosine,0.2,50,,200,0.001,,,"[0.1084, 0.0083]",,10.0,0.4,0.6,"[0.0991, 0.0083]",,,
Cosine,0.2,50,,200,0.001,,,"[0.1122, 0.0085]",,10.0,0.5,0.5,"[0.1002, 0.0083]",,,
Cosine,0.2,50,,200,0.001,,,"[0.1113, 0.0083]",,10.0,0.6,0.4,"[0.101, 0.0083]",,,
Cosine,0.2,50,,200,0.001,,,"[0.1071, 0.0082]",,10.0,0.7,0.3,"[0.095, 0.0079]",,,
Cosine,0.2,50,,200,0.001,,,"[0.111, 0.0083]",,10.0,0.8,0.2,"[0.0972, 0.0078]",,,
Cosine,0.2,50,,200,0.001,,,"[0.1072, 0.0081]",,10.0,0.9,0.1,"[0.0943, 0.0077]",,,
Cosine,0.2,50,,200,0.001,,,"[0.1027, 0.0081]",,10.0,1.0,0.0,"[0.0878, 0.0075]",,,
Cosine,0.2,50,,200,0.001,,,"[0.1292, 0.0092]",,15.0,0.0,1.0,,"[0.1399, 0.0107]",,
Cosine,0.2,50,,200,0.001,,,"[0.1298, 0.0092]",,15.0,0.1,0.9,,"[0.1378, 0.0105]",,
Cosine,0.2,50,,200,0.001,,,"[0.1327, 0.0093]",,15.0,0.2,0.8,,"[0.1385, 0.0105]",,
Cosine,0.2,50,,200,0.001,,,"[0.1359, 0.0093]",,15.0,0.3,0.7,,"[0.1422, 0.0105]",,
Cosine,0.2,50,,200,0.001,,,"[0.1342, 0.0092]",,15.0,0.4,0.6,,"[0.1406, 0.0102]",,
Cosine,0.2,50,,200,0.001,,,"[0.1351, 0.009]",,15.0,0.5,0.5,,"[0.1408, 0.0102]",,
Cosine,0.2,50,,200,0.001,,,"[0.1379, 0.0094]",,15.0,0.6,0.4,,"[0.1386, 0.0101]",,
Cosine,0.2,50,,200,0.001,,,"[0.1307, 0.009]",,15.0,0.7,0.3,,"[0.1347, 0.0101]",,
Cosine,0.2,50,,200,0.001,,,"[0.1314, 0.0089]",,15.0,0.8,0.2,,"[0.1306, 0.0095]",,
Cosine,0.2,50,,200,0.001,,,"[0.131, 0.0089]",,15.0,0.9,0.1,,"[0.1321, 0.0097]",,
Cosine,0.2,50,,200,0.001,,,"[0.1302, 0.009]",,15.0,1.0,0.0,,"[0.1283, 0.0095]",,
Cosine,0.2,50,,200,0.001,,,"[0.1495, 0.0096]",,20.0,0.0,1.0,,,"[0.1756, 0.012]",
Cosine,0.2,50,,200,0.001,,,"[0.1516, 0.0098]",,20.0,0.1,0.9,,,"[0.1769, 0.0124]",
Cosine,0.2,50,,200,0.001,,,"[0.1511, 0.0096]",,20.0,0.2,0.8,,,"[0.1737, 0.0118]",
Cosine,0.2,50,,200,0.001,,,"[0.1559, 0.0099]",,20.0,0.3,0.7,,,"[0.178, 0.0119]",
Cosine,0.2,50,,200,0.001,,,"[0.1573, 0.0099]",,20.0,0.4,0.6,,,"[0.178, 0.0117]",
Cosine,0.2,50,,200,0.001,,,"[0.1544, 0.0097]",,20.0,0.5,0.5,,,"[0.1726, 0.0115]",
Cosine,0.2,50,,200,0.001,,,"[0.1525, 0.0096]",,20.0,0.6,0.4,,,"[0.171, 0.0115]",
Cosine,0.2,50,,200,0.001,,,"[0.1506, 0.0093]",,20.0,0.7,0.3,,,"[0.1696, 0.0112]",
Cosine,0.2,50,,200,0.001,,,"[0.1488, 0.0093]",,20.0,0.8,0.2,,,"[0.1644, 0.0111]",
Cosine,0.2,50,,200,0.001,,,"[0.1518, 0.0096]",,20.0,0.9,0.1,,,"[0.1651, 0.0111]",
Cosine,0.2,50,,200,0.001,,,"[0.15, 0.0096]",,20.0,1.0,0.0,,,"[0.1618, 0.011]",
Cosine,0.2,50,,200,0.001,,,"[0.2237, 0.0106]",,50.0,0.0,1.0,,,,"[0.3352, 0.0159]"
Cosine,0.2,50,,200,0.001,,,"[0.2319, 0.011]",,50.0,0.1,0.9,,,,"[0.3452, 0.0168]"
Cosine,0.2,50,,200,0.001,,,"[0.2349, 0.0112]",,50.0,0.2,0.8,,,,"[0.3476, 0.0171]"
Cosine,0.2,50,,200,0.001,,,"[0.233, 0.011]",,50.0,0.3,0.7,,,,"[0.3431, 0.0168]"
Cosine,0.2,50,,200,0.001,,,"[0.2281, 0.0111]",,50.0,0.4,0.6,,,,"[0.332, 0.0168]"
Cosine,0.2,50,,200,0.001,,,"[0.228, 0.0112]",,50.0,0.5,0.5,,,,"[0.3275, 0.0168]"
Cosine,0.2,50,,200,0.001,,,"[0.2284, 0.0112]",,50.0,0.6,0.4,,,,"[0.3242, 0.0164]"
Cosine,0.2,50,,200,0.001,,,"[0.2219, 0.0112]",,50.0,0.7,0.3,,,,"[0.3108, 0.016]"
Cosine,0.2,50,,200,0.001,,,"[0.2199, 0.0112]",,50.0,0.8,0.2,,,,"[0.3003, 0.0155]"
Cosine,0.2,50,,200,0.001,,,"[0.208, 0.0109]",,50.0,0.9,0.1,,,,"[0.2831, 0.0148]"
Cosine,0.2,50,,200,0.001,,,"[0.2061, 0.0112]",,50.0,1.0,0.0,,,,"[0.2761, 0.0152]"
Cosine,0.3,50,,200,0.001,,,"[0.0698, 0.0071]","[0.0512, 0.0058]",5.0,0.0,1.0,,,,
Cosine,0.3,50,,200,0.001,,,"[0.0736, 0.0072]","[0.0528, 0.0057]",5.0,0.1,0.9,,,,
Cosine,0.3,50,,200,0.001,,,"[0.0726, 0.007]","[0.0511, 0.0053]",5.0,0.2,0.8,,,,
Cosine,0.3,50,,200,0.001,,,"[0.0739, 0.0068]","[0.0522, 0.0053]",5.0,0.3,0.7,,,,
Cosine,0.3,50,,200,0.001,,,"[0.0742, 0.007]","[0.0524, 0.0055]",5.0,0.4,0.6,,,,
Cosine,0.3,50,,200,0.001,,,"[0.0741, 0.007]","[0.0514, 0.0053]",5.0,0.5,0.5,,,,
Cosine,0.3,50,,200,0.001,,,"[0.075, 0.0069]","[0.0527, 0.0053]",5.0,0.6,0.4,,,,
Cosine,0.3,50,,200,0.001,,,"[0.075, 0.0069]","[0.0516, 0.0053]",5.0,0.7,0.3,,,,
Cosine,0.3,50,,200,0.001,,,"[0.075, 0.007]","[0.0526, 0.0056]",5.0,0.8,0.2,,,,
Cosine,0.3,50,,200,0.001,,,"[0.0734, 0.0069]","[0.05, 0.0053]",5.0,0.9,0.1,,,,
Cosine,0.3,50,,200,0.001,,,"[0.0717, 0.0069]","[0.0477, 0.0051]",5.0,1.0,0.0,,,,
Cosine,0.3,50,,200,0.001,,,"[0.0985, 0.0082]",,10.0,0.0,1.0,"[0.0946, 0.0087]",,,
Cosine,0.3,50,,200,0.001,,,"[0.1038, 0.0083]",,10.0,0.1,0.9,"[0.0945, 0.0083]",,,
Cosine,0.3,50,,200,0.001,,,"[0.1072, 0.0085]",,10.0,0.2,0.8,"[0.0961, 0.0082]",,,
Cosine,0.3,50,,200,0.001,,,"[0.1095, 0.0083]",,10.0,0.3,0.7,"[0.0986, 0.0081]",,,
Cosine,0.3,50,,200,0.001,,,"[0.1073, 0.0082]",,10.0,0.4,0.6,"[0.0953, 0.008]",,,
Cosine,0.3,50,,200,0.001,,,"[0.1085, 0.0082]",,10.0,0.5,0.5,"[0.0977, 0.008]",,,
Cosine,0.3,50,,200,0.001,,,"[0.1085, 0.0082]",,10.0,0.6,0.4,"[0.0962, 0.008]",,,
Cosine,0.3,50,,200,0.001,,,"[0.1074, 0.0081]",,10.0,0.7,0.3,"[0.0954, 0.0079]",,,
Cosine,0.3,50,,200,0.001,,,"[0.1077, 0.0081]",,10.0,0.8,0.2,"[0.094, 0.0078]",,,
Cosine,0.3,50,,200,0.001,,,"[0.1056, 0.0081]",,10.0,0.9,0.1,"[0.0949, 0.008]",,,
Cosine,0.3,50,,200,0.001,,,"[0.1074, 0.0081]",,10.0,1.0,0.0,"[0.0922, 0.0076]",,,
Cosine,0.3,50,,200,0.001,,,"[0.127, 0.0091]",,15.0,0.0,1.0,,"[0.137, 0.0106]",,
Cosine,0.3,50,,200,0.001,,,"[0.1305, 0.0093]",,15.0,0.1,0.9,,"[0.1377, 0.0105]",,
Cosine,0.3,50,,200,0.001,,,"[0.1351, 0.0091]",,15.0,0.2,0.8,,"[0.1412, 0.0102]",,
Cosine,0.3,50,,200,0.001,,,"[0.1345, 0.0092]",,15.0,0.3,0.7,,"[0.141, 0.0104]",,
Cosine,0.3,50,,200,0.001,,,"[0.1309, 0.009]",,15.0,0.4,0.6,,"[0.1362, 0.01]",,
Cosine,0.3,50,,200,0.001,,,"[0.1349, 0.0092]",,15.0,0.5,0.5,,"[0.139, 0.0102]",,
Cosine,0.3,50,,200,0.001,,,"[0.1338, 0.0091]",,15.0,0.6,0.4,,"[0.1366, 0.01]",,
Cosine,0.3,50,,200,0.001,,,"[0.1338, 0.0092]",,15.0,0.7,0.3,,"[0.1345, 0.0098]",,
Cosine,0.3,50,,200,0.001,,,"[0.1316, 0.0088]",,15.0,0.8,0.2,,"[0.1318, 0.0094]",,
Cosine,0.3,50,,200,0.001,,,"[0.1342, 0.0091]",,15.0,0.9,0.1,,"[0.135, 0.0099]",,
Cosine,0.3,50,,200,0.001,,,"[0.1297, 0.009]",,15.0,1.0,0.0,,"[0.1269, 0.0095]",,
Cosine,0.3,50,,200,0.001,,,"[0.1441, 0.0095]",,20.0,0.0,1.0,,,"[0.1702, 0.012]",
Cosine,0.3,50,,200,0.001,,,"[0.155, 0.01]",,20.0,0.1,0.9,,,"[0.1793, 0.0124]",
Cosine,0.3,50,,200,0.001,,,"[0.1515, 0.0098]",,20.0,0.2,0.8,,,"[0.1738, 0.0119]",
Cosine,0.3,50,,200,0.001,,,"[0.151, 0.0098]",,20.0,0.3,0.7,,,"[0.1724, 0.012]",
Cosine,0.3,50,,200,0.001,,,"[0.1552, 0.0097]",,20.0,0.4,0.6,,,"[0.175, 0.0117]",
Cosine,0.3,50,,200,0.001,,,"[0.1529, 0.0095]",,20.0,0.5,0.5,,,"[0.1735, 0.0118]",
Cosine,0.3,50,,200,0.001,,,"[0.1528, 0.0095]",,20.0,0.6,0.4,,,"[0.1741, 0.0117]",
Cosine,0.3,50,,200,0.001,,,"[0.1507, 0.0095]",,20.0,0.7,0.3,,,"[0.1686, 0.0115]",
Cosine,0.3,50,,200,0.001,,,"[0.1531, 0.0093]",,20.0,0.8,0.2,,,"[0.1699, 0.0111]",
Cosine,0.3,50,,200,0.001,,,"[0.1487, 0.0095]",,20.0,0.9,0.1,,,"[0.1624, 0.011]",
Cosine,0.3,50,,200,0.001,,,"[0.146, 0.0094]",,20.0,1.0,0.0,,,"[0.154, 0.0104]",
Cosine,0.3,50,,200,0.001,,,"[0.2216, 0.0105]",,50.0,0.0,1.0,,,,"[0.3336, 0.016]"
Cosine,0.3,50,,200,0.001,,,"[0.2318, 0.011]",,50.0,0.1,0.9,,,,"[0.3467, 0.0169]"
Cosine,0.3,50,,200,0.001,,,"[0.2362, 0.0111]",,50.0,0.2,0.8,,,,"[0.3486, 0.0169]"
Cosine,0.3,50,,200,0.001,,,"[0.236, 0.0113]",,50.0,0.3,0.7,,,,"[0.3442, 0.017]"
Cosine,0.3,50,,200,0.001,,,"[0.2275, 0.011]",,50.0,0.4,0.6,,,,"[0.3296, 0.0166]"
Cosine,0.3,50,,200,0.001,,,"[0.2268, 0.0112]",,50.0,0.5,0.5,,,,"[0.3275, 0.0167]"
Cosine,0.3,50,,200,0.001,,,"[0.2266, 0.0113]",,50.0,0.6,0.4,,,,"[0.322, 0.0166]"
Cosine,0.3,50,,200,0.001,,,"[0.2237, 0.0111]",,50.0,0.7,0.3,,,,"[0.3147, 0.0161]"
Cosine,0.3,50,,200,0.001,,,"[0.2223, 0.0111]",,50.0,0.8,0.2,,,,"[0.3064, 0.0158]"
Cosine,0.3,50,,200,0.001,,,"[0.2158, 0.011]",,50.0,0.9,0.1,,,,"[0.2885, 0.0148]"
Cosine,0.3,50,,200,0.001,,,"[0.2074, 0.0109]",,50.0,1.0,0.0,,,,"[0.2751, 0.0146]"
Cosine,0.4,50,,200,0.001,,,"[0.069, 0.007]","[0.0498, 0.0058]",5.0,0.0,1.0,,,,
Cosine,0.4,50,,200,0.001,,,"[0.0712, 0.0071]","[0.0503, 0.0055]",5.0,0.1,0.9,,,,
Cosine,0.4,50,,200,0.001,,,"[0.0736, 0.0071]","[0.0514, 0.0054]",5.0,0.2,0.8,,,,
Cosine,0.4,50,,200,0.001,,,"[0.0743, 0.0071]","[0.0519, 0.0055]",5.0,0.3,0.7,,,,
Cosine,0.4,50,,200,0.001,,,"[0.0757, 0.007]","[0.0523, 0.0053]",5.0,0.4,0.6,,,,
Cosine,0.4,50,,200,0.001,,,"[0.0763, 0.007]","[0.0534, 0.0054]",5.0,0.5,0.5,,,,
Cosine,0.4,50,,200,0.001,,,"[0.0754, 0.0069]","[0.0525, 0.0054]",5.0,0.6,0.4,,,,
Cosine,0.4,50,,200,0.001,,,"[0.0747, 0.007]","[0.0509, 0.0053]",5.0,0.7,0.3,,,,
Cosine,0.4,50,,200,0.001,,,"[0.0732, 0.0068]","[0.0508, 0.0053]",5.0,0.8,0.2,,,,
Cosine,0.4,50,,200,0.001,,,"[0.0732, 0.0069]","[0.0497, 0.0053]",5.0,0.9,0.1,,,,
Cosine,0.4,50,,200,0.001,,,"[0.0727, 0.0067]","[0.049, 0.005]",5.0,1.0,0.0,,,,
Cosine,0.4,50,,200,0.001,,,"[0.1005, 0.0083]",,10.0,0.0,1.0,"[0.0959, 0.0088]",,,
Cosine,0.4,50,,200,0.001,,,"[0.1052, 0.0084]",,10.0,0.1,0.9,"[0.0962, 0.0084]",,,
Cosine,0.4,50,,200,0.001,,,"[0.1075, 0.0083]",,10.0,0.2,0.8,"[0.096, 0.0081]",,,
Cosine,0.4,50,,200,0.001,,,"[0.1066, 0.0083]",,10.0,0.3,0.7,"[0.0955, 0.0081]",,,
Cosine,0.4,50,,200,0.001,,,"[0.1086, 0.0083]",,10.0,0.4,0.6,"[0.098, 0.0081]",,,
Cosine,0.4,50,,200,0.001,,,"[0.1083, 0.0083]",,10.0,0.5,0.5,"[0.0975, 0.0082]",,,
Cosine,0.4,50,,200,0.001,,,"[0.1112, 0.0083]",,10.0,0.6,0.4,"[0.0982, 0.008]",,,
Cosine,0.4,50,,200,0.001,,,"[0.1077, 0.0081]",,10.0,0.7,0.3,"[0.0953, 0.0079]",,,
Cosine,0.4,50,,200,0.001,,,"[0.1098, 0.0082]",,10.0,0.8,0.2,"[0.0965, 0.0079]",,,
Cosine,0.4,50,,200,0.001,,,"[0.1062, 0.0082]",,10.0,0.9,0.1,"[0.0904, 0.0075]",,,
Cosine,0.4,50,,200,0.001,,,"[0.1076, 0.0082]",,10.0,1.0,0.0,"[0.0913, 0.0075]",,,
Cosine,0.4,50,,200,0.001,,,"[0.1301, 0.0092]",,15.0,0.0,1.0,,"[0.1412, 0.0108]",,
Cosine,0.4,50,,200,0.001,,,"[0.132, 0.0093]",,15.0,0.1,0.9,,"[0.1383, 0.0103]",,
Cosine,0.4,50,,200,0.001,,,"[0.1298, 0.0093]",,15.0,0.2,0.8,,"[0.1341, 0.0102]",,
Cosine,0.4,50,,200,0.001,,,"[0.1333, 0.0092]",,15.0,0.3,0.7,,"[0.1392, 0.0105]",,
Cosine,0.4,50,,200,0.001,,,"[0.1353, 0.0093]",,15.0,0.4,0.6,,"[0.1424, 0.0104]",,
Cosine,0.4,50,,200,0.001,,,"[0.1341, 0.0092]",,15.0,0.5,0.5,,"[0.1366, 0.0101]",,
Cosine,0.4,50,,200,0.001,,,"[0.135, 0.0093]",,15.0,0.6,0.4,,"[0.1366, 0.01]",,
Cosine,0.4,50,,200,0.001,,,"[0.1338, 0.0091]",,15.0,0.7,0.3,,"[0.1372, 0.0101]",,
Cosine,0.4,50,,200,0.001,,,"[0.1355, 0.0092]",,15.0,0.8,0.2,,"[0.1354, 0.0098]",,
Cosine,0.4,50,,200,0.001,,,"[0.1331, 0.0091]",,15.0,0.9,0.1,,"[0.1331, 0.0097]",,
Cosine,0.4,50,,200,0.001,,,"[0.1319, 0.0091]",,15.0,1.0,0.0,,"[0.1314, 0.0098]",,
Cosine,0.4,50,,200,0.001,,,"[0.1448, 0.0096]",,20.0,0.0,1.0,,,"[0.1723, 0.0122]",
Cosine,0.4,50,,200,0.001,,,"[0.1537, 0.0099]",,20.0,0.1,0.9,,,"[0.1786, 0.0123]",
Cosine,0.4,50,,200,0.001,,,"[0.1517, 0.0098]",,20.0,0.2,0.8,,,"[0.1737, 0.0119]",
Cosine,0.4,50,,200,0.001,,,"[0.155, 0.0099]",,20.0,0.3,0.7,,,"[0.1751, 0.0119]",
Cosine,0.4,50,,200,0.001,,,"[0.1511, 0.0096]",,20.0,0.4,0.6,,,"[0.172, 0.0116]",
Cosine,0.4,50,,200,0.001,,,"[0.1579, 0.0098]",,20.0,0.5,0.5,,,"[0.1768, 0.0118]",
Cosine,0.4,50,,200,0.001,,,"[0.1535, 0.0096]",,20.0,0.6,0.4,,,"[0.1704, 0.0113]",
Cosine,0.4,50,,200,0.001,,,"[0.1545, 0.0097]",,20.0,0.7,0.3,,,"[0.1691, 0.0113]",
Cosine,0.4,50,,200,0.001,,,"[0.1535, 0.0097]",,20.0,0.8,0.2,,,"[0.17, 0.0114]",
Cosine,0.4,50,,200,0.001,,,"[0.1528, 0.0098]",,20.0,0.9,0.1,,,"[0.1665, 0.0113]",
Cosine,0.4,50,,200,0.001,,,"[0.1509, 0.0097]",,20.0,1.0,0.0,,,"[0.1624, 0.0112]",
Cosine,0.4,50,,200,0.001,,,"[0.2218, 0.0104]",,50.0,0.0,1.0,,,,"[0.3345, 0.0158]"
Cosine,0.4,50,,200,0.001,,,"[0.2343, 0.011]",,50.0,0.1,0.9,,,,"[0.3477, 0.0167]"
Cosine,0.4,50,,200,0.001,,,"[0.2348, 0.0112]",,50.0,0.2,0.8,,,,"[0.3468, 0.0169]"
Cosine,0.4,50,,200,0.001,,,"[0.2318, 0.0111]",,50.0,0.3,0.7,,,,"[0.3393, 0.0169]"
Cosine,0.4,50,,200,0.001,,,"[0.2319, 0.0113]",,50.0,0.4,0.6,,,,"[0.3337, 0.0168]"
Cosine,0.4,50,,200,0.001,,,"[0.2299, 0.0114]",,50.0,0.5,0.5,,,,"[0.3281, 0.0166]"
Cosine,0.4,50,,200,0.001,,,"[0.2289, 0.0114]",,50.0,0.6,0.4,,,,"[0.3227, 0.0166]"
Cosine,0.4,50,,200,0.001,,,"[0.2269, 0.0112]",,50.0,0.7,0.3,,,,"[0.3183, 0.0162]"
Cosine,0.4,50,,200,0.001,,,"[0.2215, 0.0112]",,50.0,0.8,0.2,,,,"[0.3046, 0.0158]"
Cosine,0.4,50,,200,0.001,,,"[0.2119, 0.0111]",,50.0,0.9,0.1,,,,"[0.2853, 0.0152]"
Cosine,0.4,50,,200,0.001,,,"[0.2136, 0.0112]",,50.0,1.0,0.0,,,,"[0.2797, 0.0146]"
Cosine,0.5,50,,200,0.001,,,"[0.0666, 0.0069]","[0.0488, 0.0058]",5.0,0.0,1.0,,,,
Cosine,0.5,50,,200,0.001,,,"[0.0732, 0.0072]","[0.052, 0.0058]",5.0,0.1,0.9,,,,
Cosine,0.5,50,,200,0.001,,,"[0.0732, 0.007]","[0.0515, 0.0054]",5.0,0.2,0.8,,,,
Cosine,0.5,50,,200,0.001,,,"[0.0736, 0.007]","[0.0513, 0.0053]",5.0,0.3,0.7,,,,
Cosine,0.5,50,,200,0.001,,,"[0.0735, 0.0068]","[0.0514, 0.0053]",5.0,0.4,0.6,,,,
Cosine,0.5,50,,200,0.001,,,"[0.0766, 0.0071]","[0.0531, 0.0054]",5.0,0.5,0.5,,,,
Cosine,0.5,50,,200,0.001,,,"[0.0744, 0.0069]","[0.051, 0.0053]",5.0,0.6,0.4,,,,
Cosine,0.5,50,,200,0.001,,,"[0.0775, 0.0071]","[0.0538, 0.0054]",5.0,0.7,0.3,,,,
Cosine,0.5,50,,200,0.001,,,"[0.0793, 0.0072]","[0.0551, 0.0057]",5.0,0.8,0.2,,,,
Cosine,0.5,50,,200,0.001,,,"[0.0822, 0.0073]","[0.0558, 0.0055]",5.0,0.9,0.1,,,,
Cosine,0.5,50,,200,0.001,,,"[0.0766, 0.0071]","[0.0517, 0.0054]",5.0,1.0,0.0,,,,
Cosine,0.5,50,,200,0.001,,,"[0.1025, 0.0083]",,10.0,0.0,1.0,"[0.0989, 0.0088]",,,
Cosine,0.5,50,,200,0.001,,,"[0.1028, 0.0083]",,10.0,0.1,0.9,"[0.0934, 0.0082]",,,
Cosine,0.5,50,,200,0.001,,,"[0.1067, 0.0085]",,10.0,0.2,0.8,"[0.0952, 0.0082]",,,
Cosine,0.5,50,,200,0.001,,,"[0.1092, 0.0083]",,10.0,0.3,0.7,"[0.0988, 0.0082]",,,
Cosine,0.5,50,,200,0.001,,,"[0.1109, 0.0084]",,10.0,0.4,0.6,"[0.0999, 0.0082]",,,
Cosine,0.5,50,,200,0.001,,,"[0.1067, 0.0081]",,10.0,0.5,0.5,"[0.0937, 0.0077]",,,
Cosine,0.5,50,,200,0.001,,,"[0.1087, 0.0082]",,10.0,0.6,0.4,"[0.0973, 0.0079]",,,
Cosine,0.5,50,,200,0.001,,,"[0.1071, 0.008]",,10.0,0.7,0.3,"[0.0947, 0.0077]",,,
Cosine,0.5,50,,200,0.001,,,"[0.1121, 0.0084]",,10.0,0.8,0.2,"[0.0973, 0.008]",,,
Cosine,0.5,50,,200,0.001,,,"[0.1114, 0.0084]",,10.0,0.9,0.1,"[0.0971, 0.0081]",,,
Cosine,0.5,50,,200,0.001,,,"[0.1055, 0.008]",,10.0,1.0,0.0,"[0.091, 0.0076]",,,
Cosine,0.5,50,,200,0.001,,,"[0.1235, 0.009]",,15.0,0.0,1.0,,"[0.1356, 0.0108]",,
Cosine,0.5,50,,200,0.001,,,"[0.1298, 0.0093]",,15.0,0.1,0.9,,"[0.1351, 0.0104]",,
Cosine,0.5,50,,200,0.001,,,"[0.1333, 0.0093]",,15.0,0.2,0.8,,"[0.1391, 0.0104]",,
Cosine,0.5,50,,200,0.001,,,"[0.1344, 0.0093]",,15.0,0.3,0.7,,"[0.1389, 0.0103]",,
Cosine,0.5,50,,200,0.001,,,"[0.1338, 0.0092]",,15.0,0.4,0.6,,"[0.136, 0.0102]",,
Cosine,0.5,50,,200,0.001,,,"[0.1335, 0.009]",,15.0,0.5,0.5,,"[0.1364, 0.0099]",,
Cosine,0.5,50,,200,0.001,,,"[0.1354, 0.0092]",,15.0,0.6,0.4,,"[0.1373, 0.0101]",,
Cosine,0.5,50,,200,0.001,,,"[0.133, 0.0091]",,15.0,0.7,0.3,,"[0.1343, 0.01]",,
Cosine,0.5,50,,200,0.001,,,"[0.1352, 0.0092]",,15.0,0.8,0.2,,"[0.1348, 0.0099]",,
Cosine,0.5,50,,200,0.001,,,"[0.1381, 0.0094]",,15.0,0.9,0.1,,"[0.1345, 0.0098]",,
Cosine,0.5,50,,200,0.001,,,"[0.1378, 0.0096]",,15.0,1.0,0.0,,"[0.1366, 0.0104]",,
Cosine,0.5,50,,200,0.001,,,"[0.1525, 0.0097]",,20.0,0.0,1.0,,,"[0.1792, 0.0121]",
Cosine,0.5,50,,200,0.001,,,"[0.1522, 0.0099]",,20.0,0.1,0.9,,,"[0.175, 0.0122]",
Cosine,0.5,50,,200,0.001,,,"[0.1498, 0.0098]",,20.0,0.2,0.8,,,"[0.1711, 0.012]",
Cosine,0.5,50,,200,0.001,,,"[0.151, 0.0097]",,20.0,0.3,0.7,,,"[0.1701, 0.0115]",
Cosine,0.5,50,,200,0.001,,,"[0.1532, 0.0099]",,20.0,0.4,0.6,,,"[0.1706, 0.0116]",
