similarity,corruption,rank,topK,iter,lambda,weight_u_i,metric,NDCG,Recall@5,tok,weight_i,weight_u,Recall@10,Recall@15,Recall@20,Recall@50
Cosine,0.3,50,,200,1e-05,,,"[0.0747, 0.0069]","[0.0518, 0.0054]",5.0,1.0,0.0,,,,
Cosine,0.3,50,,200,1e-05,,,"[0.1038, 0.0084]",,10.0,0.0,1.0,"[0.0995, 0.0088]",,,
Cosine,0.3,50,,200,1e-05,,,"[0.1082, 0.0085]",,10.0,0.1,0.9,"[0.0996, 0.0085]",,,
Cosine,0.3,50,,200,1e-05,,,"[0.1084, 0.0085]",,10.0,0.2,0.8,"[0.0979, 0.0083]",,,
Cosine,0.3,50,,200,1e-05,,,"[0.1101, 0.0085]",,10.0,0.3,0.7,"[0.1004, 0.0085]",,,
Cosine,0.3,50,,200,1e-05,,,"[0.1137, 0.0087]",,10.0,0.4,0.6,"[0.1024, 0.0084]",,,
Cosine,0.3,50,,200,1e-05,,,"[0.1068, 0.0081]",,10.0,0.5,0.5,"[0.0953, 0.0079]",,,
Cosine,0.3,50,,200,1e-05,,,"[0.1073, 0.0082]",,10.0,0.6,0.4,"[0.0957, 0.008]",,,
Cosine,0.3,50,,200,1e-05,,,"[0.1114, 0.0084]",,10.0,0.7,0.3,"[0.0978, 0.0081]",,,
Cosine,0.3,50,,200,1e-05,,,"[0.1117, 0.0084]",,10.0,0.8,0.2,"[0.0977, 0.0081]",,,
Cosine,0.3,50,,200,1e-05,,,"[0.1076, 0.008]",,10.0,0.9,0.1,"[0.0941, 0.0078]",,,
Cosine,0.3,50,,200,1e-05,,,"[0.103, 0.0078]",,10.0,1.0,0.0,"[0.0899, 0.0075]",,,
Cosine,0.3,50,,200,1e-05,,,"[0.1249, 0.0091]",,15.0,0.0,1.0,,"[0.1362, 0.0106]",,
Cosine,0.3,50,,200,1e-05,,,"[0.1325, 0.0093]",,15.0,0.1,0.9,,"[0.1403, 0.0105]",,
Cosine,0.3,50,,200,1e-05,,,"[0.1313, 0.0093]",,15.0,0.2,0.8,,"[0.1363, 0.0102]",,
Cosine,0.3,50,,200,1e-05,,,"[0.133, 0.0092]",,15.0,0.3,0.7,,"[0.1374, 0.0102]",,
Cosine,0.3,50,,200,1e-05,,,"[0.1332, 0.009]",,15.0,0.4,0.6,,"[0.137, 0.0101]",,
Cosine,0.3,50,,200,1e-05,,,"[0.1349, 0.0092]",,15.0,0.5,0.5,,"[0.1401, 0.0101]",,
Cosine,0.3,50,,200,1e-05,,,"[0.1328, 0.0091]",,15.0,0.6,0.4,,"[0.1339, 0.0097]",,
Cosine,0.3,50,,200,1e-05,,,"[0.1332, 0.009]",,15.0,0.7,0.3,,"[0.1341, 0.0098]",,
Cosine,0.3,50,,200,1e-05,,,"[0.1322, 0.009]",,15.0,0.8,0.2,,"[0.1316, 0.0097]",,
Cosine,0.3,50,,200,1e-05,,,"[0.1309, 0.0091]",,15.0,0.9,0.1,,"[0.1275, 0.0095]",,
Cosine,0.3,50,,200,1e-05,,,"[0.1281, 0.0089]",,15.0,1.0,0.0,,"[0.1271, 0.0095]",,
Cosine,0.3,50,,200,1e-05,,,"[0.146, 0.0095]",,20.0,0.0,1.0,,,"[0.1717, 0.0118]",
Cosine,0.3,50,,200,1e-05,,,"[0.1522, 0.0098]",,20.0,0.1,0.9,,,"[0.176, 0.0121]",
Cosine,0.3,50,,200,1e-05,,,"[0.1531, 0.0096]",,20.0,0.2,0.8,,,"[0.1749, 0.0117]",
Cosine,0.3,50,,200,1e-05,,,"[0.1537, 0.0099]",,20.0,0.3,0.7,,,"[0.1744, 0.012]",
Cosine,0.3,50,,200,1e-05,,,"[0.1543, 0.0098]",,20.0,0.4,0.6,,,"[0.1746, 0.0119]",
Cosine,0.3,50,,200,1e-05,,,"[0.1547, 0.0096]",,20.0,0.5,0.5,,,"[0.1765, 0.0118]",
Cosine,0.3,50,,200,1e-05,,,"[0.1513, 0.0094]",,20.0,0.6,0.4,,,"[0.1707, 0.0113]",
Cosine,0.3,50,,200,1e-05,,,"[0.1501, 0.0095]",,20.0,0.7,0.3,,,"[0.1659, 0.0113]",
Cosine,0.3,50,,200,1e-05,,,"[0.1506, 0.0095]",,20.0,0.8,0.2,,,"[0.1659, 0.0111]",
Cosine,0.3,50,,200,1e-05,,,"[0.1519, 0.0098]",,20.0,0.9,0.1,,,"[0.167, 0.0114]",
Cosine,0.3,50,,200,1e-05,,,"[0.1477, 0.0095]",,20.0,1.0,0.0,,,"[0.1589, 0.011]",
Cosine,0.3,50,,200,1e-05,,,"[0.2258, 0.0105]",,50.0,0.0,1.0,,,,"[0.3383, 0.0158]"
Cosine,0.3,50,,200,1e-05,,,"[0.2368, 0.0111]",,50.0,0.1,0.9,,,,"[0.3522, 0.0168]"
Cosine,0.3,50,,200,1e-05,,,"[0.236, 0.0112]",,50.0,0.2,0.8,,,,"[0.3481, 0.017]"
Cosine,0.3,50,,200,1e-05,,,"[0.2339, 0.0114]",,50.0,0.3,0.7,,,,"[0.3372, 0.0169]"
Cosine,0.3,50,,200,1e-05,,,"[0.2314, 0.0112]",,50.0,0.4,0.6,,,,"[0.3347, 0.0169]"
Cosine,0.3,50,,200,1e-05,,,"[0.2297, 0.0112]",,50.0,0.5,0.5,,,,"[0.3254, 0.0163]"
Cosine,0.3,50,,200,1e-05,,,"[0.2245, 0.0113]",,50.0,0.6,0.4,,,,"[0.3158, 0.0164]"
Cosine,0.3,50,,200,1e-05,,,"[0.2221, 0.0111]",,50.0,0.7,0.3,,,,"[0.309, 0.0158]"
Cosine,0.3,50,,200,1e-05,,,"[0.2186, 0.0114]",,50.0,0.8,0.2,,,,"[0.2987, 0.0156]"
Cosine,0.3,50,,200,1e-05,,,"[0.2171, 0.0116]",,50.0,0.9,0.1,,,,"[0.2893, 0.0155]"
Cosine,0.3,50,,200,1e-05,,,"[0.2065, 0.011]",,50.0,1.0,0.0,,,,"[0.2734, 0.0145]"
Cosine,0.4,50,,200,1e-05,,,"[0.0668, 0.0069]","[0.0488, 0.0058]",5.0,0.0,1.0,,,,
Cosine,0.4,50,,200,1e-05,,,"[0.0724, 0.007]","[0.0514, 0.0055]",5.0,0.1,0.9,,,,
Cosine,0.4,50,,200,1e-05,,,"[0.0742, 0.0072]","[0.0526, 0.0056]",5.0,0.2,0.8,,,,
Cosine,0.4,50,,200,1e-05,,,"[0.074, 0.0069]","[0.0517, 0.0053]",5.0,0.3,0.7,,,,
Cosine,0.4,50,,200,1e-05,,,"[0.0727, 0.0068]","[0.0503, 0.0052]",5.0,0.4,0.6,,,,
Cosine,0.4,50,,200,1e-05,,,"[0.0744, 0.0067]","[0.0522, 0.0051]",5.0,0.5,0.5,,,,
Cosine,0.4,50,,200,1e-05,,,"[0.0778, 0.0072]","[0.0541, 0.0056]",5.0,0.6,0.4,,,,
Cosine,0.4,50,,200,1e-05,,,"[0.0742, 0.0069]","[0.0511, 0.0053]",5.0,0.7,0.3,,,,
Cosine,0.4,50,,200,1e-05,,,"[0.0783, 0.0071]","[0.0536, 0.0055]",5.0,0.8,0.2,,,,
Cosine,0.4,50,,200,1e-05,,,"[0.0736, 0.0068]","[0.0495, 0.0051]",5.0,0.9,0.1,,,,
Cosine,0.4,50,,200,1e-05,,,"[0.0731, 0.0069]","[0.0495, 0.0052]",5.0,1.0,0.0,,,,
Cosine,0.4,50,,200,1e-05,,,"[0.0981, 0.0082]",,10.0,0.0,1.0,"[0.0931, 0.0087]",,,
Cosine,0.4,50,,200,1e-05,,,"[0.1054, 0.0084]",,10.0,0.1,0.9,"[0.0956, 0.0084]",,,
Cosine,0.4,50,,200,1e-05,,,"[0.1074, 0.0085]",,10.0,0.2,0.8,"[0.0966, 0.0082]",,,
Cosine,0.4,50,,200,1e-05,,,"[0.1078, 0.0083]",,10.0,0.3,0.7,"[0.0968, 0.008]",,,
Cosine,0.4,50,,200,1e-05,,,"[0.11, 0.0084]",,10.0,0.4,0.6,"[0.0972, 0.0081]",,,
Cosine,0.4,50,,200,1e-05,,,"[0.1095, 0.0083]",,10.0,0.5,0.5,"[0.0968, 0.0079]",,,
Cosine,0.4,50,,200,1e-05,,,"[0.1121, 0.0085]",,10.0,0.6,0.4,"[0.0984, 0.0083]",,,
Cosine,0.4,50,,200,1e-05,,,"[0.1105, 0.0083]",,10.0,0.7,0.3,"[0.0974, 0.0079]",,,
Cosine,0.4,50,,200,1e-05,,,"[0.107, 0.0081]",,10.0,0.8,0.2,"[0.0929, 0.0077]",,,
Cosine,0.4,50,,200,1e-05,,,"[0.1086, 0.0082]",,10.0,0.9,0.1,"[0.0946, 0.0077]",,,
Cosine,0.4,50,,200,1e-05,,,"[0.1039, 0.0078]",,10.0,1.0,0.0,"[0.0908, 0.0075]",,,
Cosine,0.4,50,,200,1e-05,,,"[0.13, 0.0092]",,15.0,0.0,1.0,,"[0.1408, 0.0108]",,
Cosine,0.4,50,,200,1e-05,,,"[0.1317, 0.0093]",,15.0,0.1,0.9,,"[0.1383, 0.0105]",,
Cosine,0.4,50,,200,1e-05,,,"[0.1327, 0.0093]",,15.0,0.2,0.8,,"[0.1371, 0.0103]",,
Cosine,0.4,50,,200,1e-05,,,"[0.1348, 0.0092]",,15.0,0.3,0.7,,"[0.1404, 0.0103]",,
Cosine,0.4,50,,200,1e-05,,,"[0.1344, 0.0092]",,15.0,0.4,0.6,,"[0.1362, 0.0101]",,
Cosine,0.4,50,,200,1e-05,,,"[0.1346, 0.0093]",,15.0,0.5,0.5,,"[0.1357, 0.01]",,
Cosine,0.4,50,,200,1e-05,,,"[0.1364, 0.0092]",,15.0,0.6,0.4,,"[0.1386, 0.01]",,
Cosine,0.4,50,,200,1e-05,,,"[0.1348, 0.0091]",,15.0,0.7,0.3,,"[0.1349, 0.0098]",,
Cosine,0.4,50,,200,1e-05,,,"[0.1311, 0.0089]",,15.0,0.8,0.2,,"[0.1301, 0.0095]",,
Cosine,0.4,50,,200,1e-05,,,"[0.1348, 0.0092]",,15.0,0.9,0.1,,"[0.1327, 0.0098]",,
Cosine,0.4,50,,200,1e-05,,,"[0.1296, 0.009]",,15.0,1.0,0.0,,"[0.1296, 0.0099]",,
Cosine,0.4,50,,200,1e-05,,,"[0.1477, 0.0096]",,20.0,0.0,1.0,,,"[0.1755, 0.0122]",
Cosine,0.4,50,,200,1e-05,,,"[0.1518, 0.0099]",,20.0,0.1,0.9,,,"[0.1752, 0.0122]",
Cosine,0.4,50,,200,1e-05,,,"[0.1533, 0.0099]",,20.0,0.2,0.8,,,"[0.1731, 0.0117]",
Cosine,0.4,50,,200,1e-05,,,"[0.1558, 0.0098]",,20.0,0.3,0.7,,,"[0.1762, 0.0118]",
Cosine,0.4,50,,200,1e-05,,,"[0.1546, 0.0098]",,20.0,0.4,0.6,,,"[0.1731, 0.0117]",
Cosine,0.4,50,,200,1e-05,,,"[0.154, 0.0096]",,20.0,0.5,0.5,,,"[0.1714, 0.0115]",
Cosine,0.4,50,,200,1e-05,,,"[0.1552, 0.0098]",,20.0,0.6,0.4,,,"[0.1722, 0.0116]",
